date,deaths,species,state,city
2022-05-30,103,"Multiple species: 60 chickens, 40 goats, 2 dogs and 1 sheep",Arizona,Laveen
2022-02-03,44,"Multiple species: 10 goats, 12 rabbits, 20 chickens and other animals",Alaska,North Pole
2022-04-09,5,Multiple species: horses and other animals,California,Sacramento
2022-02-28,16,Multiple species: 15 horses and 1 goat,California,Jurupa Valley
2022-02-19,16,Multiple species: 6 horses and 10 goats,California,Ventura County
2022-01-11,1,Calf,Connecticut,Norwich
2022-12-24,24,Multiple species: sheep and chickens,Illinois,Marengo
2022-12-22,4,Multiple species: sheep and rabbits,Illinois,Peoria
2022-12-22,90,Cows,Illinois,Strawn
2022-12-14,12,Chickens,Illinois,Columbia
2022-09-29,5,Multiple species: rabbits and geese,Illinois,Wauconda
2022-03-02,4,Chicks,Illinois,Chatham
2022-02-14,28,Birds,Illinois,Lake Villa
2022-02-05,12,Horses,Illinois,Ellsworth
2022-01-27,4,Goats,Illinois,Baker
2022-12-23,4,Animals (species not specified),Indiana,West Terre Haute
2022-12-21,10,Pigs,Indiana,La
2022-11-10,5,"Multiple species: a dog, puppies, and 2 calves",Indiana,Daviess County
2022-10-13,34,"Multiple species: 4 horses, 6 goats, 24 chickens",Indiana,Kankakee Township
2022-04-12,"15,000",Ducks,Indiana,Millerburg
2022-02-01,3,Cows,Indiana,Harrison Township
2022-01-06,2,Horses,Indiana,Martinsville
2022-12-02,30,Pigs,Iowa,Cascade
2022-03-29,"1,000",Pigs,Iowa,Hawarden
2022-03-29,8,"Multiple species: 6 goats, 1 dog and 1 pig",Iowa,Anamosa
2022-10-05,6,"Chickens, geese and ducks",Kansas,Manhattan
2022-02-15,2,Horses,Kansas,Emporia
2022-01-04,4,Animals (species not specified),Kansas,Osage County
2022-06-30,9,Horses,Kentucky,Pendleton
2022-05-01,25,Horses,Kentucky,Georgetown
2022-03-06,3,Horses,Kentucky,Lexington
2022-02-27,1,Horse,Kentucky,Prospect
2022-06-28,1,Horse,Louisiana,Allen Parish
2022-02-06,3,Horses,Louisiana,Breaux Bridge
2022-01-22,4,Horses,Louisiana,Benton
2022-08-09,6,Cows,Maine,Gorham
2022-06-08,2,Animals (species not specified),Maine,Eastbrook
2022-04-19,1,Horse,Massachusetts,Plympton
